Province_State,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Alabama,459639,7688,4057.0,122.0
Alaska,54351,262,135.0,0.0
American Samoa,0,0,0.0,0.0
Arizona,758404,13120,5025.0,22.0
Arkansas,295268,4868,881.0,30.0
California,3324264,40928,13315.0,226.0
Colorado,396185,5640,1166.0,20.0
Connecticut,250023,7046,0.0,0.0
Delaware,78071,1305,520.0,4.0
Diamond Princess,49,0,0.0,0.0
District of Columbia,36872,913,210.0,4.0
Florida,1721377,26479,7788.0,119.0
Georgia,909445,14198,3587.0,2.0
Grand Princess,103,3,0.0,0.0
Guam,7579,129,0.0,0.0
Hawaii,26596,410,51.0,3.0
Idaho,162683,1725,0.0,0.0
Illinois,1126301,21253,2428.0,40.0
Indiana,626682,11296,1723.0,34.0
Iowa,319408,4901,298.0,250.0
Kansas,276956,3767,0.0,0.0
Kentucky,362881,3745,1766.0,31.0
Louisiana,400626,8859,3350.0,58.0
Maine,39324,590,156.0,0.0
Maryland,354473,7127,1747.0,20.0
Massachusetts,524025,14577,2665.0,46.0
Michigan,610138,15525,0.0,0.0
Minnesota,461807,6268,988.0,13.0
Mississippi,275001,6045,811.0,27.0
Missouri,532747,7071,1197.0,1.0
Montana,93949,1233,187.0,1.0
Nebraska,190713,1920,143.0,0.0
Nevada,278308,4270,959.0,6.0
New Hampshire,65949,1057,294.0,15.0
New Jersey,696829,21484,4286.0,29.0
New Mexico,174064,3283,525.0,18.0
New York,1419907,43634,11209.0,181.0
North Carolina,757526,9335,4899.0,48.0
North Dakota,97629,1447,68.0,0.0
Northern Mariana Islands,132,2,0.0,0.0
Ohio,895792,17081,3011.0,71.0
Oklahoma,389472,3547,2882.0,43.0
Oregon,142416,1957,0.0,0.0
Pennsylvania,846046,21617,3571.0,55.0
Puerto Rico,93624,1829,218.0,6.0
Rhode Island,114438,2341,0.0,8.0
South Carolina,443386,7042,3601.0,28.0
South Dakota,108250,1778,180.0,3.0
Tennessee,727861,9650,3119.0,76.0
Texas,2376344,37074,13078.0,150.0
Utah,346624,1665,1194.0,2.0
Vermont,11965,174,134.0,1.0
Virgin Islands,2398,24,0.0,0.0
Virginia,504779,6464,2558.0,15.0
Washington,311597,4285,0.0,0.0
West Virginia,121001,2024,661.0,9.0
Wisconsin,592140,6434,1143.0,4.0
Wyoming,51912,596,208.0,0.0
