FIPS,Province_State,Admin2,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
1001.0,Alabama,Autauga,7209,113,3.0,0.0
1003.0,Alabama,Baldwin,21755,313,11.0,1.0
1005.0,Alabama,Barbour,2346,59,1.0,0.0
1007.0,Alabama,Bibb,2670,64,1.0,0.0
1009.0,Alabama,Blount,6921,139,3.0,0.0
1011.0,Alabama,Bullock,1240,42,0.0,0.0
1013.0,Alabama,Butler,2230,71,0.0,0.0
1015.0,Alabama,Calhoun,14684,325,1.0,0.0
1017.0,Alabama,Chambers,3709,124,0.0,0.0
1019.0,Alabama,Cherokee,1870,45,1.0,0.0
1021.0,Alabama,Chilton,4458,115,0.0,0.0
1023.0,Alabama,Choctaw,614,25,0.0,0.0
1025.0,Alabama,Clarke,3526,61,-1.0,0.0
1027.0,Alabama,Clay,1593,59,-1.0,0.0
1029.0,Alabama,Cleburne,1518,43,0.0,0.0
1031.0,Alabama,Coffee,5616,125,-1.0,1.0
1033.0,Alabama,Colbert,6383,139,9.0,0.0
1035.0,Alabama,Conecuh,1130,30,0.0,0.0
1037.0,Alabama,Coosa,1106,29,1.0,0.0
1039.0,Alabama,Covington,4250,121,2.0,1.0
1041.0,Alabama,Crenshaw,1551,57,1.0,0.0
1043.0,Alabama,Cullman,9910,200,13.0,1.0
1045.0,Alabama,Dale,4926,114,9.0,0.0
1047.0,Alabama,Dallas,3602,154,1.0,0.0
1049.0,Alabama,DeKalb,8953,188,2.0,0.0
1051.0,Alabama,Elmore,10298,211,0.0,1.0
1053.0,Alabama,Escambia,3997,80,5.0,1.0
1055.0,Alabama,Etowah,14125,361,-1.0,0.0
1057.0,Alabama,Fayette,2161,62,1.0,0.0
1059.0,Alabama,Franklin,4303,83,6.0,0.0
1061.0,Alabama,Geneva,2568,81,0.0,0.0
1063.0,Alabama,Greene,934,34,1.0,0.0
1065.0,Alabama,Hale,2262,78,1.0,0.0
1067.0,Alabama,Henry,1938,43,0.0,0.0
1069.0,Alabama,Houston,10737,287,1.0,0.0
1071.0,Alabama,Jackson,6897,113,11.0,1.0
1073.0,Alabama,Jefferson,80715,1560,10.0,11.0
1075.0,Alabama,Lamar,1459,37,0.0,0.0
1077.0,Alabama,Lauderdale,9570,248,14.0,2.0
1079.0,Alabama,Lawrence,3111,100,3.0,0.0
1081.0,Alabama,Lee,16211,174,8.0,1.0
1083.0,Alabama,Limestone,10164,157,10.0,1.0
1085.0,Alabama,Lowndes,1418,54,0.0,0.0
1087.0,Alabama,Macon,1631,51,1.0,0.0
1089.0,Alabama,Madison,35596,522,76.0,3.0
1091.0,Alabama,Marengo,2505,65,1.0,0.0
1093.0,Alabama,Marion,3233,105,13.0,1.0
1095.0,Alabama,Marshall,12417,228,20.0,0.0
1097.0,Alabama,Mobile,41871,826,17.0,1.0
1099.0,Alabama,Monroe,1789,41,0.0,0.0
1101.0,Alabama,Montgomery,25063,608,2.0,1.0
1103.0,Alabama,Morgan,14592,284,14.0,0.0
80001.0,Alabama,Out of AL,0,0,0.0,0.0
1105.0,Alabama,Perry,1087,26,0.0,0.0
1107.0,Alabama,Pickens,2363,62,1.0,0.0
1109.0,Alabama,Pike,3139,78,0.0,0.0
1111.0,Alabama,Randolph,1864,43,5.0,0.0
1113.0,Alabama,Russell,4537,41,4.0,0.0
1117.0,Alabama,Shelby,25544,254,11.0,0.0
1115.0,Alabama,St. Clair,10138,250,5.0,1.0
1119.0,Alabama,Sumter,1057,32,0.0,0.0
1121.0,Alabama,Talladega,8436,182,1.0,0.0
1123.0,Alabama,Tallapoosa,4113,155,1.0,0.0
